City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Avarua,CK,-21.2078,-159.775,82.45,78,75,17.27,broken clouds
1,Cape Town,ZA,-33.9258,18.4232,68.34,69,78,4.03,broken clouds
2,Thompson,CA,55.7435,-97.8558,-14.78,97,100,3.33,overcast clouds
3,Katsuura,JP,35.1333,140.3,41.14,39,0,11.1,clear sky
4,Hobart,AU,-42.8794,147.3294,73.06,50,20,1.01,few clouds
5,Umm Kaddadah,SD,13.6017,26.6876,55.0,25,30,17.65,scattered clouds
6,Hasaki,JP,35.7333,140.8333,41.29,35,0,13.78,clear sky
7,Ler,SS,8.3018,30.1418,71.56,17,13,8.93,few clouds
8,Mataura,NZ,-46.1927,168.8643,56.48,44,43,3.65,scattered clouds
9,Kavieng,PG,-2.5744,150.7967,83.91,73,100,7.43,overcast clouds
10,Kihei,US,20.785,-156.4656,82.42,68,40,23.02,light rain
11,Saint George,US,37.1041,-113.5841,55.87,21,0,0.0,clear sky
12,Aldan,RU,58.6031,125.3894,-8.27,96,100,4.61,overcast clouds
13,Port Alfred,ZA,-33.5906,26.891,70.23,86,58,25.14,broken clouds
14,Victoria,HK,22.2855,114.1577,60.04,79,98,1.99,overcast clouds
15,Kaitangata,NZ,-46.2817,169.8464,54.93,63,84,6.6,broken clouds
16,Guerrero Negro,MX,27.9769,-114.0611,63.82,37,0,14.56,clear sky
17,Goundi,TD,9.3627,17.366,70.88,20,2,5.37,clear sky
18,Ushuaia,AR,-54.8,-68.3,49.66,57,20,18.41,few clouds
19,Bluff,NZ,-46.6,168.3333,56.8,60,23,10.54,few clouds
20,Dingle,PH,10.9995,122.6711,80.26,74,100,17.69,overcast clouds
21,Hermanus,ZA,-34.4187,19.2345,70.9,88,31,11.25,scattered clouds
22,Okhotsk,RU,59.3833,143.3,-1.71,68,100,14.65,overcast clouds
23,Ilinge,ZA,-31.9768,27.0427,57.58,89,95,2.57,overcast clouds
24,Tutoia,BR,-2.7619,-42.2744,82.38,84,100,11.9,moderate rain
25,Mahebourg,MU,-20.4081,57.7,79.25,80,100,16.87,overcast clouds
26,Leningradskiy,RU,69.3833,178.4167,-20.76,96,26,3.13,scattered clouds
27,Qaanaaq,GL,77.484,-69.3632,0.23,96,100,4.41,overcast clouds
28,Narsaq,GL,60.9167,-46.05,1.62,71,100,5.66,overcast clouds
29,Punta Arenas,CL,-53.15,-70.9167,55.51,62,40,9.22,scattered clouds
30,Busselton,AU,-33.65,115.3333,74.05,63,44,10.07,scattered clouds
31,Progreso,MX,21.2833,-89.6667,71.11,79,94,19.3,overcast clouds
32,Rikitea,PF,-23.1203,-134.9692,79.57,69,100,13.18,overcast clouds
33,Shediac,CA,46.2198,-64.5411,5.09,80,83,14.72,broken clouds
34,Saskylakh,RU,71.9167,114.0833,-31.7,100,96,3.06,overcast clouds
35,Albany,US,42.6001,-73.9662,13.08,61,9,3.0,clear sky
36,Bambous Virieux,MU,-20.3428,57.7575,79.21,80,100,16.51,overcast clouds
37,Puerto Ayora,EC,-0.7393,-90.3518,75.54,92,29,4.0,scattered clouds
38,Taraz,KZ,42.9,71.3667,34.21,75,100,6.71,overcast clouds
39,Evensk,RU,61.95,159.2333,17.26,46,27,21.43,scattered clouds
40,Kenai,US,60.5544,-151.2583,31.03,86,100,11.5,overcast clouds
41,Aklavik,CA,68.2191,-135.0107,-36.24,88,24,1.36,few clouds
42,Cooma,AU,-36.2333,149.1333,59.95,57,90,6.91,overcast clouds
43,Ancud,CL,-41.8697,-73.8203,59.23,81,89,2.98,overcast clouds
44,New Norfolk,AU,-42.7826,147.0587,72.72,43,0,3.44,clear sky
45,Mackay,AU,-21.15,149.2,79.68,71,78,20.38,broken clouds
46,Yellowknife,CA,62.456,-114.3525,-14.58,86,98,5.99,overcast clouds
47,Castro,BR,-24.7911,-50.0119,65.16,97,100,1.57,overcast clouds
48,Tazovskiy,RU,67.4667,78.7,-18.15,100,76,5.82,broken clouds
49,Tuatapere,NZ,-46.1333,167.6833,56.82,56,77,5.79,broken clouds
50,Vaini,TO,-21.2,-175.2,78.96,89,100,16.11,light rain
51,Muana,BR,-1.5283,-49.2167,74.82,96,100,3.65,moderate rain
52,Nong Chik,TH,6.8436,101.178,76.91,85,93,9.66,overcast clouds
53,Champerico,GT,14.3,-91.9167,81.36,65,19,3.36,few clouds
54,Nizwa,OM,22.9333,57.5333,64.83,35,0,2.06,clear sky
55,Tevaitoa,PF,-16.7833,-151.5,80.96,73,18,20.38,light rain
56,Nikolskoye,RU,59.7035,30.7861,26.87,96,100,5.97,light snow
57,Mar Del Plata,AR,-38.0023,-57.5575,63.09,78,75,10.0,broken clouds
58,Milton,US,34.1322,-84.3007,39.09,62,0,2.28,clear sky
59,Kamaishi,JP,39.2667,141.8833,31.73,53,47,13.82,scattered clouds
60,Cap Malheureux,MU,-19.9842,57.6142,79.47,76,100,7.0,overcast clouds
61,Dzaoudzi,YT,-12.7887,45.2699,82.29,78,91,9.22,overcast clouds
62,Rawson,AR,-43.3002,-65.1023,61.59,45,90,11.92,overcast clouds
63,Butaritari,KI,3.0707,172.7902,82.69,75,87,17.78,overcast clouds
64,Ozernovskiy,RU,51.5,156.5167,27.64,82,70,7.05,broken clouds
65,Klaksvik,FO,62.2266,-6.589,34.72,86,100,14.45,light snow
66,Grand Gaube,MU,-20.0064,57.6608,79.38,76,100,7.0,overcast clouds
67,Leshukonskoye,RU,64.8989,45.7622,2.26,94,41,7.78,scattered clouds
68,Beloha,MG,-25.1667,45.05,73.36,93,100,19.66,moderate rain
69,Oak Ridge,US,36.0104,-84.2696,33.44,61,0,0.0,clear sky
70,Boa Vista,BR,2.8197,-60.6733,84.18,61,75,5.75,broken clouds
71,Fortuna,US,40.5982,-124.1573,58.19,74,0,1.01,clear sky
72,Doha,QA,25.2867,51.5333,62.58,45,0,12.66,clear sky
73,Mayumba,GA,-3.432,10.6554,76.86,86,98,4.07,overcast clouds
74,Turukhansk,RU,65.8167,87.9833,-21.5,100,96,1.74,overcast clouds
75,Kapaa,US,22.0752,-159.319,79.2,65,0,3.0,clear sky
76,Carnarvon,AU,-24.8667,113.6333,80.67,74,75,14.97,broken clouds
77,Iqaluit,CA,63.7506,-68.5145,-35.77,99,100,2.53,overcast clouds
78,Nenjiang,CN,49.1833,125.2167,-3.44,90,24,2.64,few clouds
79,Hovd,MN,48.0056,91.6419,-14.3,76,10,2.95,clear sky
80,Tuktoyaktuk,CA,69.4541,-133.0374,-28.16,100,100,8.21,overcast clouds
81,Bud,US,39.447,-86.1758,19.49,85,8,6.69,clear sky
82,Bredasdorp,ZA,-34.5322,20.0403,68.29,93,11,9.62,few clouds
83,Aksarka,RU,66.5606,67.7975,-20.96,100,75,3.74,broken clouds
84,Te Anau,NZ,-45.4167,167.7167,64.06,40,2,5.37,clear sky
85,Thinadhoo,MV,0.5333,72.9333,81.64,71,4,7.27,clear sky
86,Barrow,US,71.2906,-156.7887,-20.18,69,0,11.5,clear sky
87,Lorengau,PG,-2.0226,147.2712,84.51,70,100,8.81,overcast clouds
88,Okato,NZ,-39.2,173.8833,63.91,97,100,14.23,light rain
89,Saint-Philippe,RE,-21.3585,55.7679,78.39,83,98,18.16,light rain
90,Najran,SA,17.4924,44.1277,60.93,59,0,4.61,clear sky
91,San Quintin,MX,30.4833,-115.95,59.76,36,0,6.4,clear sky
92,Lazaro Cardenas,MX,17.9583,-102.2,75.85,72,0,5.66,clear sky
93,Aranos,NA,-24.1333,19.1167,74.17,60,98,5.12,light rain
94,Manokwari,ID,-0.8667,134.0833,82.51,68,100,3.98,overcast clouds
95,Yumen,CN,40.2833,97.2,15.01,50,100,14.65,overcast clouds
96,Castillo De Teayo,MX,20.75,-97.6167,59.45,61,2,4.16,clear sky
97,Arraial Do Cabo,BR,-22.9661,-42.0278,76.69,86,27,26.93,scattered clouds
98,Ceres,US,37.5949,-120.9577,62.82,39,0,3.44,clear sky
99,Alofi,NU,-19.0595,-169.9187,80.74,78,100,14.9,light rain
100,Morondava,MG,-20.2833,44.2833,78.62,78,100,17.45,light rain
101,Hilo,US,19.7297,-155.09,78.53,79,75,11.5,broken clouds
102,Pisco,PE,-13.7,-76.2167,68.05,88,0,5.75,clear sky
103,Itarema,BR,-2.9248,-39.9167,78.75,83,3,10.0,clear sky
104,Georgetown,MY,5.4112,100.3354,80.89,80,20,1.01,few clouds
105,Severo-Kurilsk,RU,50.6789,156.125,30.02,82,89,9.78,overcast clouds
106,Nuevo Progreso,MX,23.1667,-97.95,56.59,41,0,1.99,clear sky
107,Port Elizabeth,ZA,-33.918,25.5701,69.1,94,75,17.27,broken clouds
108,Lucapa,AO,-8.4192,20.7447,63.32,96,91,2.3,light rain
109,Bandarbeyla,SO,9.4942,50.8122,73.65,75,12,7.87,few clouds
110,Lompoc,US,34.6391,-120.4579,68.31,60,20,11.5,few clouds
111,Bengkulu,ID,-3.8004,102.2655,74.43,93,100,11.41,light rain
112,Kodiak,US,57.79,-152.4072,40.51,87,100,19.57,light rain
113,Winnemucca,US,40.973,-117.7357,48.25,29,0,5.75,clear sky
114,Ponta Do Sol,PT,32.6667,-17.1,68.13,46,43,12.8,scattered clouds
115,Avera,US,33.194,-82.5271,42.31,46,0,6.38,clear sky
116,Celestun,MX,20.8667,-90.4,71.74,77,91,19.6,overcast clouds
117,Port Lincoln,AU,-34.7333,135.8667,78.75,47,12,17.92,few clouds
118,Maunabo,PR,18.0072,-65.8993,74.7,92,100,11.21,light rain
119,La Rioja,ES,42.25,-2.5,33.12,82,5,5.03,clear sky
120,Hithadhoo,MV,-0.6,73.0833,81.57,72,4,6.69,clear sky
121,Maputo,MZ,-25.9653,32.5892,71.74,91,89,11.65,light rain
122,Ossora,RU,59.2353,163.0719,15.39,82,100,11.3,overcast clouds
123,Bosaso,SO,11.2842,49.1816,71.29,78,100,4.21,overcast clouds
124,Kudahuvadhoo,MV,2.6708,72.8944,80.94,69,6,8.39,clear sky
125,Campeche,MX,19.0,-90.5,67.8,94,89,4.29,overcast clouds
126,Lata,PT,40.1629,-8.3327,49.06,78,0,4.52,clear sky
127,Talnakh,RU,69.4865,88.3972,-16.33,100,100,2.51,overcast clouds
128,Airai,TL,-8.9266,125.4092,71.29,67,60,2.24,broken clouds
129,Dikson,RU,73.5069,80.5464,-20.31,100,97,3.44,overcast clouds
130,Hamilton,US,39.1834,-84.5333,19.81,84,0,0.0,clear sky
131,Shenjiamen,CN,29.9576,122.298,41.65,59,67,9.51,broken clouds
132,Maine-Soroa,NE,13.2114,12.0241,60.04,29,0,9.26,clear sky
133,Hay River,CA,60.8156,-115.7999,-11.18,99,13,5.21,few clouds
134,Daska,PK,32.3243,74.3497,46.38,70,100,2.59,overcast clouds
135,Jamestown,US,42.097,-79.2353,12.33,72,0,0.0,clear sky
136,Palembang,ID,-2.9167,104.7458,77.09,94,75,5.75,light rain
